user_term,standard_symptom,language
bahut jyada tremor ki problem hai,tremor,Hinglish
bhaiya bahut jyada tremor thik nhi ho rha,tremor,Hinglish
tremor ho rha h,tremor,Hinglish
sir mujhe tremor ho rha h ho gaya hai,tremor,Hinglish
tremor ho rha h ki problem hai,tremor,Hinglish
bhaiya tremor ho rha h thik nhi ho rha,tremor,Hinglish
tremor h,tremor,Hinglish
sir mujhe tremor h ho gaya hai,tremor,Hinglish
tremor h ki problem hai,tremor,Hinglish
bhaiya tremor h thik nhi ho rha,tremor,Hinglish
tremor बा,tremor,Bhojpuri
हमरा के tremor बा बा,tremor,Bhojpuri
परेशान बानी tremor बा से,tremor,Bhojpuri
हमरा tremor बा,tremor,Bhojpuri
हमरा के हमरा tremor बा बा,tremor,Bhojpuri
परेशान बानी हमरा tremor बा से,tremor,Bhojpuri
देहिया में tremor बा,tremor,Bhojpuri
हमरा के देहिया में tremor बा बा,tremor,Bhojpuri
परेशान बानी देहिया में tremor बा से,tremor,Bhojpuri
बहुत बेसी tremor बा,tremor,Bhojpuri
हमरा के बहुत बेसी tremor बा बा,tremor,Bhojpuri
परेशान बानी बहुत बेसी tremor बा से,tremor,Bhojpuri
tremor ba,tremor,Roman Bhojpuri
hamra ke tremor ba,tremor,Roman Bhojpuri
babuji ke tremor ba,tremor,Roman Bhojpuri
deh me tremor ba lagta,tremor,Roman Bhojpuri
hamra tremor ba,tremor,Roman Bhojpuri
hamra ke hamra tremor ba,tremor,Roman Bhojpuri
babuji ke hamra tremor ba,tremor,Roman Bhojpuri
deh me hamra tremor ba lagta,tremor,Roman Bhojpuri
dehiya me tremor ba,tremor,Roman Bhojpuri
hamra ke dehiya me tremor ba,tremor,Roman Bhojpuri
babuji ke dehiya me tremor ba,tremor,Roman Bhojpuri
deh me dehiya me tremor ba lagta,tremor,Roman Bhojpuri
bahut besi tremor ba,tremor,Roman Bhojpuri
hamra ke bahut besi tremor ba,tremor,Roman Bhojpuri
babuji ke bahut besi tremor ba,tremor,Roman Bhojpuri
deh me bahut besi tremor ba lagta,tremor,Roman Bhojpuri
man thik naikhe tremor ba,tremor,Roman Bhojpuri
hamra ke man thik naikhe tremor ba,tremor,Roman Bhojpuri
babuji ke man thik naikhe tremor ba,tremor,Roman Bhojpuri
deh me man thik naikhe tremor ba lagta,tremor,Roman Bhojpuri
seizure,seizure,English
suffering from seizure,seizure,English
feeling seizure,seizure,English
mild seizure,seizure,English
i have seizure,seizure,English
suffering from i have seizure,seizure,English
feeling i have seizure,seizure,English
mild i have seizure,seizure,English
severe seizure,seizure,English
suffering from severe seizure,seizure,English
feeling severe seizure,seizure,English
mild severe seizure,seizure,English
seizureing,seizure,English
suffering from seizureing,seizure,English
feeling seizureing,seizure,English
mild seizureing,seizure,English
मुझे seizure महसूस हो रहा है,seizure,Hindi
लगातार seizure,seizure,Hindi
मुझे seizure है,seizure,Hindi
मुझे मुझे seizure है महसूस हो रहा है,seizure,Hindi
लगातार मुझे seizure है,seizure,Hindi
बहुत तेज seizure,seizure,Hindi
मुझे बहुत तेज seizure महसूस हो रहा है,seizure,Hindi
लगातार बहुत तेज seizure,seizure,Hindi
seizure की शिकायत है,seizure,Hindi
मुझे seizure की शिकायत है महसूस हो रहा है,seizure,Hindi
लगातार seizure की शिकायत है,seizure,Hindi
sir mujhe seizure ho gaya hai,seizure,Hinglish
seizure ki problem hai,seizure,Hinglish
bhaiya seizure thik nhi ho rha,seizure,Hinglish
mujhe seizure hai,seizure,Hinglish
sir mujhe mujhe seizure hai ho gaya hai,seizure,Hinglish
mujhe seizure hai ki problem hai,seizure,Hinglish
bhaiya mujhe seizure hai thik nhi ho rha,seizure,Hinglish
bahut jyada seizure,seizure,Hinglish
sir mujhe bahut jyada seizure ho gaya hai,seizure,Hinglish
bahut jyada seizure ki problem hai,seizure,Hinglish
bhaiya bahut jyada seizure thik nhi ho rha,seizure,Hinglish
seizure ho rha h,seizure,Hinglish
sir mujhe seizure ho rha h ho gaya hai,seizure,Hinglish
seizure ho rha h ki problem hai,seizure,Hinglish
bhaiya seizure ho rha h thik nhi ho rha,seizure,Hinglish
seizure h,seizure,Hinglish
sir mujhe seizure h ho gaya hai,seizure,Hinglish
seizure h ki problem hai,seizure,Hinglish
bhaiya seizure h thik nhi ho rha,seizure,Hinglish
seizure बा,seizure,Bhojpuri
हमरा के seizure बा बा,seizure,Bhojpuri
परेशान बानी seizure बा से,seizure,Bhojpuri
हमरा seizure बा,seizure,Bhojpuri
हमरा के हमरा seizure बा बा,seizure,Bhojpuri
परेशान बानी हमरा seizure बा से,seizure,Bhojpuri
देहिया में seizure बा,seizure,Bhojpuri
हमरा के देहिया में seizure बा बा,seizure,Bhojpuri
परेशान बानी देहिया में seizure बा से,seizure,Bhojpuri
बहुत बेसी seizure बा,seizure,Bhojpuri
हमरा के बहुत बेसी seizure बा बा,seizure,Bhojpuri
परेशान बानी बहुत बेसी seizure बा से,seizure,Bhojpuri
seizure ba,seizure,Roman Bhojpuri
hamra ke seizure ba,seizure,Roman Bhojpuri
babuji ke seizure ba,seizure,Roman Bhojpuri
deh me seizure ba lagta,seizure,Roman Bhojpuri
hamra seizure ba,seizure,Roman Bhojpuri
hamra ke hamra seizure ba,seizure,Roman Bhojpuri
babuji ke hamra seizure ba,seizure,Roman Bhojpuri
deh me hamra seizure ba lagta,seizure,Roman Bhojpuri
dehiya me seizure ba,seizure,Roman Bhojpuri
hamra ke dehiya me seizure ba,seizure,Roman Bhojpuri
babuji ke dehiya me seizure ba,seizure,Roman Bhojpuri
deh me dehiya me seizure ba lagta,seizure,Roman Bhojpuri
bahut besi seizure ba,seizure,Roman Bhojpuri
hamra ke bahut besi seizure ba,seizure,Roman Bhojpuri
babuji ke bahut besi seizure ba,seizure,Roman Bhojpuri
deh me bahut besi seizure ba lagta,seizure,Roman Bhojpuri
man thik naikhe seizure ba,seizure,Roman Bhojpuri
hamra ke man thik naikhe seizure ba,seizure,Roman Bhojpuri
babuji ke man thik naikhe seizure ba,seizure,Roman Bhojpuri
deh me man thik naikhe seizure ba lagta,seizure,Roman Bhojpuri
throat pain,throat_pain,English
suffering from throat pain,throat_pain,English
feeling throat pain,throat_pain,English
mild throat pain,throat_pain,English
i have throat pain,throat_pain,English
suffering from i have throat pain,throat_pain,English
feeling i have throat pain,throat_pain,English
mild i have throat pain,throat_pain,English
severe throat pain,throat_pain,English
suffering from severe throat pain,throat_pain,English
feeling severe throat pain,throat_pain,English
mild severe throat pain,throat_pain,English
throat paining,throat_pain,English
suffering from throat paining,throat_pain,English
feeling throat paining,throat_pain,English
mild throat paining,throat_pain,English
throatpain,throat_pain,English
suffering from throatpain,throat_pain,English
feeling throatpain,throat_pain,English
mild throatpain,throat_pain,English
throat दर्द,throat_pain,Hindi
मुझे throat दर्द महसूस हो रहा है,throat_pain,Hindi
लगातार throat दर्द,throat_pain,Hindi
मुझे throat दर्द है,throat_pain,Hindi
मुझे मुझे throat दर्द है महसूस हो रहा है,throat_pain,Hindi
लगातार मुझे throat दर्द है,throat_pain,Hindi
बहुत तेज throat दर्द,throat_pain,Hindi
मुझे बहुत तेज throat दर्द महसूस हो रहा है,throat_pain,Hindi
लगातार बहुत तेज throat दर्द,throat_pain,Hindi
throat दर्द की शिकायत है,throat_pain,Hindi
मुझे throat दर्द की शिकायत है महसूस हो रहा है,throat_pain,Hindi
लगातार throat दर्द की शिकायत है,throat_pain,Hindi
throat dard,throat_pain,Hinglish
sir mujhe throat dard ho gaya hai,throat_pain,Hinglish
throat dard ki problem hai,throat_pain,Hinglish
bhaiya throat dard thik nhi ho rha,throat_pain,Hinglish
mujhe throat dard hai,throat_pain,Hinglish
sir mujhe mujhe throat dard hai ho gaya hai,throat_pain,Hinglish
mujhe throat dard hai ki problem hai,throat_pain,Hinglish
bhaiya mujhe throat dard hai thik nhi ho rha,throat_pain,Hinglish
bahut jyada throat dard,throat_pain,Hinglish
sir mujhe bahut jyada throat dard ho gaya hai,throat_pain,Hinglish
bahut jyada throat dard ki problem hai,throat_pain,Hinglish
bhaiya bahut jyada throat dard thik nhi ho rha,throat_pain,Hinglish
throat dard ho rha h,throat_pain,Hinglish
sir mujhe throat dard ho rha h ho gaya hai,throat_pain,Hinglish
throat dard ho rha h ki problem hai,throat_pain,Hinglish
bhaiya throat dard ho rha h thik nhi ho rha,throat_pain,Hinglish
throat dard h,throat_pain,Hinglish
sir mujhe throat dard h ho gaya hai,throat_pain,Hinglish
throat dard h ki problem hai,throat_pain,Hinglish
bhaiya throat dard h thik nhi ho rha,throat_pain,Hinglish
throat में दरद बा,throat_pain,Bhojpuri
हमरा के throat में दरद बा बा,throat_pain,Bhojpuri
परेशान बानी throat में दरद बा से,throat_pain,Bhojpuri
हमरा throat में दरद बा,throat_pain,Bhojpuri
हमरा के हमरा throat में दरद बा बा,throat_pain,Bhojpuri
परेशान बानी हमरा throat में दरद बा से,throat_pain,Bhojpuri
देहिया में throat में दरद बा,throat_pain,Bhojpuri
हमरा के देहिया में throat में दरद बा बा,throat_pain,Bhojpuri
परेशान बानी देहिया में throat में दरद बा से,throat_pain,Bhojpuri
बहुत बेसी throat में दरद बा,throat_pain,Bhojpuri
हमरा के बहुत बेसी throat में दरद बा बा,throat_pain,Bhojpuri
परेशान बानी बहुत बेसी throat में दरद बा से,throat_pain,Bhojpuri
throat me darad ba,throat_pain,Roman Bhojpuri
hamra ke throat me darad ba,throat_pain,Roman Bhojpuri
babuji ke throat me darad ba,throat_pain,Roman Bhojpuri
deh me throat me darad ba lagta,throat_pain,Roman Bhojpuri
hamra throat me darad ba,throat_pain,Roman Bhojpuri
hamra ke hamra throat me darad ba,throat_pain,Roman Bhojpuri
babuji ke hamra throat me darad ba,throat_pain,Roman Bhojpuri
deh me hamra throat me darad ba lagta,throat_pain,Roman Bhojpuri
dehiya me throat me darad ba,throat_pain,Roman Bhojpuri
hamra ke dehiya me throat me darad ba,throat_pain,Roman Bhojpuri
babuji ke dehiya me throat me darad ba,throat_pain,Roman Bhojpuri
deh me dehiya me throat me darad ba lagta,throat_pain,Roman Bhojpuri
bahut besi throat me darad ba,throat_pain,Roman Bhojpuri
hamra ke bahut besi throat me darad ba,throat_pain,Roman Bhojpuri
babuji ke bahut besi throat me darad ba,throat_pain,Roman Bhojpuri
deh me bahut besi throat me darad ba lagta,throat_pain,Roman Bhojpuri
man thik naikhe throat me darad ba,throat_pain,Roman Bhojpuri
hamra ke man thik naikhe throat me darad ba,throat_pain,Roman Bhojpuri
babuji ke man thik naikhe throat me darad ba,throat_pain,Roman Bhojpuri
deh me man thik naikhe throat me darad ba lagta,throat_pain,Roman Bhojpuri
dry cough,dry_cough,English
suffering from dry cough,dry_cough,English
feeling dry cough,dry_cough,English
mild dry cough,dry_cough,English
i have dry cough,dry_cough,English
suffering from i have dry cough,dry_cough,English
feeling i have dry cough,dry_cough,English
mild i have dry cough,dry_cough,English
severe dry cough,dry_cough,English
suffering from severe dry cough,dry_cough,English
feeling severe dry cough,dry_cough,English
mild severe dry cough,dry_cough,English
dry coughing,dry_cough,English
suffering from dry coughing,dry_cough,English
feeling dry coughing,dry_cough,English
mild dry coughing,dry_cough,English
drycough,dry_cough,English
suffering from drycough,dry_cough,English
feeling drycough,dry_cough,English
mild drycough,dry_cough,English
मुझे dry cough महसूस हो रहा है,dry_cough,Hindi
लगातार dry cough,dry_cough,Hindi
मुझे dry cough है,dry_cough,Hindi
मुझे मुझे dry cough है महसूस हो रहा है,dry_cough,Hindi
लगातार मुझे dry cough है,dry_cough,Hindi
बहुत तेज dry cough,dry_cough,Hindi
मुझे बहुत तेज dry cough महसूस हो रहा है,dry_cough,Hindi
लगातार बहुत तेज dry cough,dry_cough,Hindi
dry cough की शिकायत है,dry_cough,Hindi
मुझे dry cough की शिकायत है महसूस हो रहा है,dry_cough,Hindi
लगातार dry cough की शिकायत है,dry_cough,Hindi
sir mujhe dry cough ho gaya hai,dry_cough,Hinglish
dry cough ki problem hai,dry_cough,Hinglish
bhaiya dry cough thik nhi ho rha,dry_cough,Hinglish
mujhe dry cough hai,dry_cough,Hinglish
sir mujhe mujhe dry cough hai ho gaya hai,dry_cough,Hinglish
mujhe dry cough hai ki problem hai,dry_cough,Hinglish
bhaiya mujhe dry cough hai thik nhi ho rha,dry_cough,Hinglish
bahut jyada dry cough,dry_cough,Hinglish
sir mujhe bahut jyada dry cough ho gaya hai,dry_cough,Hinglish
bahut jyada dry cough ki problem hai,dry_cough,Hinglish
bhaiya bahut jyada dry cough thik nhi ho rha,dry_cough,Hinglish
dry cough ho rha h,dry_cough,Hinglish
sir mujhe dry cough ho rha h ho gaya hai,dry_cough,Hinglish
dry cough ho rha h ki problem hai,dry_cough,Hinglish
bhaiya dry cough ho rha h thik nhi ho rha,dry_cough,Hinglish
dry cough h,dry_cough,Hinglish
sir mujhe dry cough h ho gaya hai,dry_cough,Hinglish
dry cough h ki problem hai,dry_cough,Hinglish
bhaiya dry cough h thik nhi ho rha,dry_cough,Hinglish
dry cough बा,dry_cough,Bhojpuri
हमरा के dry cough बा बा,dry_cough,Bhojpuri
परेशान बानी dry cough बा से,dry_cough,Bhojpuri
हमरा dry cough बा,dry_cough,Bhojpuri
हमरा के हमरा dry cough बा बा,dry_cough,Bhojpuri
परेशान बानी हमरा dry cough बा से,dry_cough,Bhojpuri
देहिया में dry cough बा,dry_cough,Bhojpuri
हमरा के देहिया में dry cough बा बा,dry_cough,Bhojpuri
परेशान बानी देहिया में dry cough बा से,dry_cough,Bhojpuri
बहुत बेसी dry cough बा,dry_cough,Bhojpuri
हमरा के बहुत बेसी dry cough बा बा,dry_cough,Bhojpuri
परेशान बानी बहुत बेसी dry cough बा से,dry_cough,Bhojpuri
dry cough ba,dry_cough,Roman Bhojpuri
hamra ke dry cough ba,dry_cough,Roman Bhojpuri
babuji ke dry cough ba,dry_cough,Roman Bhojpuri
deh me dry cough ba lagta,dry_cough,Roman Bhojpuri
hamra dry cough ba,dry_cough,Roman Bhojpuri
hamra ke hamra dry cough ba,dry_cough,Roman Bhojpuri
babuji ke hamra dry cough ba,dry_cough,Roman Bhojpuri
deh me hamra dry cough ba lagta,dry_cough,Roman Bhojpuri
dehiya me dry cough ba,dry_cough,Roman Bhojpuri
hamra ke dehiya me dry cough ba,dry_cough,Roman Bhojpuri
babuji ke dehiya me dry cough ba,dry_cough,Roman Bhojpuri
deh me dehiya me dry cough ba lagta,dry_cough,Roman Bhojpuri
bahut besi dry cough ba,dry_cough,Roman Bhojpuri
hamra ke bahut besi dry cough ba,dry_cough,Roman Bhojpuri
babuji ke bahut besi dry cough ba,dry_cough,Roman Bhojpuri
deh me bahut besi dry cough ba lagta,dry_cough,Roman Bhojpuri
man thik naikhe dry cough ba,dry_cough,Roman Bhojpuri
hamra ke man thik naikhe dry cough ba,dry_cough,Roman Bhojpuri
babuji ke man thik naikhe dry cough ba,dry_cough,Roman Bhojpuri
deh me man thik naikhe dry cough ba lagta,dry_cough,Roman Bhojpuri
productive cough,productive_cough,English
suffering from productive cough,productive_cough,English
feeling productive cough,productive_cough,English
mild productive cough,productive_cough,English
i have productive cough,productive_cough,English
suffering from i have productive cough,productive_cough,English
feeling i have productive cough,productive_cough,English
mild i have productive cough,productive_cough,English
severe productive cough,productive_cough,English
suffering from severe productive cough,productive_cough,English
feeling severe productive cough,productive_cough,English
mild severe productive cough,productive_cough,English
productive coughing,productive_cough,English
suffering from productive coughing,productive_cough,English
feeling productive coughing,productive_cough,English
mild productive coughing,productive_cough,English
productivecough,productive_cough,English
suffering from productivecough,productive_cough,English
feeling productivecough,productive_cough,English
mild productivecough,productive_cough,English
मुझे productive cough महसूस हो रहा है,productive_cough,Hindi
लगातार productive cough,productive_cough,Hindi
मुझे productive cough है,productive_cough,Hindi
मुझे मुझे productive cough है महसूस हो रहा है,productive_cough,Hindi
लगातार मुझे productive cough है,productive_cough,Hindi
बहुत तेज productive cough,productive_cough,Hindi
मुझे बहुत तेज productive cough महसूस हो रहा है,productive_cough,Hindi
लगातार बहुत तेज productive cough,productive_cough,Hindi
productive cough की शिकायत है,productive_cough,Hindi
मुझे productive cough की शिकायत है महसूस हो रहा है,productive_cough,Hindi
लगातार productive cough की शिकायत है,productive_cough,Hindi
sir mujhe productive cough ho gaya hai,productive_cough,Hinglish
productive cough ki problem hai,productive_cough,Hinglish
bhaiya productive cough thik nhi ho rha,productive_cough,Hinglish
mujhe productive cough hai,productive_cough,Hinglish
sir mujhe mujhe productive cough hai ho gaya hai,productive_cough,Hinglish
mujhe productive cough hai ki problem hai,productive_cough,Hinglish
bhaiya mujhe productive cough hai thik nhi ho rha,productive_cough,Hinglish
bahut jyada productive cough,productive_cough,Hinglish
sir mujhe bahut jyada productive cough ho gaya hai,productive_cough,Hinglish
bahut jyada productive cough ki problem hai,productive_cough,Hinglish
bhaiya bahut jyada productive cough thik nhi ho rha,productive_cough,Hinglish
productive cough ho rha h,productive_cough,Hinglish
sir mujhe productive cough ho rha h ho gaya hai,productive_cough,Hinglish
productive cough ho rha h ki problem hai,productive_cough,Hinglish
bhaiya productive cough ho rha h thik nhi ho rha,productive_cough,Hinglish
productive cough h,productive_cough,Hinglish
sir mujhe productive cough h ho gaya hai,productive_cough,Hinglish
productive cough h ki problem hai,productive_cough,Hinglish
bhaiya productive cough h thik nhi ho rha,productive_cough,Hinglish
productive cough बा,productive_cough,Bhojpuri
हमरा के productive cough बा बा,productive_cough,Bhojpuri
परेशान बानी productive cough बा से,productive_cough,Bhojpuri
हमरा productive cough बा,productive_cough,Bhojpuri
हमरा के हमरा productive cough बा बा,productive_cough,Bhojpuri
परेशान बानी हमरा productive cough बा से,productive_cough,Bhojpuri
देहिया में productive cough बा,productive_cough,Bhojpuri
हमरा के देहिया में productive cough बा बा,productive_cough,Bhojpuri
परेशान बानी देहिया में productive cough बा से,productive_cough,Bhojpuri
बहुत बेसी productive cough बा,productive_cough,Bhojpuri
हमरा के बहुत बेसी productive cough बा बा,productive_cough,Bhojpuri
परेशान बानी बहुत बेसी productive cough बा से,productive_cough,Bhojpuri
productive cough ba,productive_cough,Roman Bhojpuri
hamra ke productive cough ba,productive_cough,Roman Bhojpuri
babuji ke productive cough ba,productive_cough,Roman Bhojpuri
deh me productive cough ba lagta,productive_cough,Roman Bhojpuri
hamra productive cough ba,productive_cough,Roman Bhojpuri
hamra ke hamra productive cough ba,productive_cough,Roman Bhojpuri
babuji ke hamra productive cough ba,productive_cough,Roman Bhojpuri
deh me hamra productive cough ba lagta,productive_cough,Roman Bhojpuri
dehiya me productive cough ba,productive_cough,Roman Bhojpuri
hamra ke dehiya me productive cough ba,productive_cough,Roman Bhojpuri
babuji ke dehiya me productive cough ba,productive_cough,Roman Bhojpuri
deh me dehiya me productive cough ba lagta,productive_cough,Roman Bhojpuri
bahut besi productive cough ba,productive_cough,Roman Bhojpuri
hamra ke bahut besi productive cough ba,productive_cough,Roman Bhojpuri
babuji ke bahut besi productive cough ba,productive_cough,Roman Bhojpuri
deh me bahut besi productive cough ba lagta,productive_cough,Roman Bhojpuri
man thik naikhe productive cough ba,productive_cough,Roman Bhojpuri
hamra ke man thik naikhe productive cough ba,productive_cough,Roman Bhojpuri
babuji ke man thik naikhe productive cough ba,productive_cough,Roman Bhojpuri
deh me man thik naikhe productive cough ba lagta,productive_cough,Roman Bhojpuri
wheezing,wheezing,English
suffering from wheezing,wheezing,English
feeling wheezing,wheezing,English
mild wheezing,wheezing,English
i have wheezing,wheezing,English
suffering from i have wheezing,wheezing,English
feeling i have wheezing,wheezing,English
mild i have wheezing,wheezing,English
severe wheezing,wheezing,English
suffering from severe wheezing,wheezing,English
feeling severe wheezing,wheezing,English
mild severe wheezing,wheezing,English
wheezinging,wheezing,English
suffering from wheezinging,wheezing,English
feeling wheezinging,wheezing,English
mild wheezinging,wheezing,English
मुझे wheezing महसूस हो रहा है,wheezing,Hindi
लगातार wheezing,wheezing,Hindi
मुझे wheezing है,wheezing,Hindi
मुझे मुझे wheezing है महसूस हो रहा है,wheezing,Hindi
लगातार मुझे wheezing है,wheezing,Hindi
बहुत तेज wheezing,wheezing,Hindi
मुझे बहुत तेज wheezing महसूस हो रहा है,wheezing,Hindi
लगातार बहुत तेज wheezing,wheezing,Hindi
wheezing की शिकायत है,wheezing,Hindi
मुझे wheezing की शिकायत है महसूस हो रहा है,wheezing,Hindi
लगातार wheezing की शिकायत है,wheezing,Hindi
sir mujhe wheezing ho gaya hai,wheezing,Hinglish
wheezing ki problem hai,wheezing,Hinglish
bhaiya wheezing thik nhi ho rha,wheezing,Hinglish
mujhe wheezing hai,wheezing,Hinglish
sir mujhe mujhe wheezing hai ho gaya hai,wheezing,Hinglish
mujhe wheezing hai ki problem hai,wheezing,Hinglish
bhaiya mujhe wheezing hai thik nhi ho rha,wheezing,Hinglish
bahut jyada wheezing,wheezing,Hinglish
sir mujhe bahut jyada wheezing ho gaya hai,wheezing,Hinglish
bahut jyada wheezing ki problem hai,wheezing,Hinglish
bhaiya bahut jyada wheezing thik nhi ho rha,wheezing,Hinglish
wheezing ho rha h,wheezing,Hinglish
sir mujhe wheezing ho rha h ho gaya hai,wheezing,Hinglish
wheezing ho rha h ki problem hai,wheezing,Hinglish
bhaiya wheezing ho rha h thik nhi ho rha,wheezing,Hinglish
wheezing h,wheezing,Hinglish
sir mujhe wheezing h ho gaya hai,wheezing,Hinglish
wheezing h ki problem hai,wheezing,Hinglish
bhaiya wheezing h thik nhi ho rha,wheezing,Hinglish
wheezing बा,wheezing,Bhojpuri
हमरा के wheezing बा बा,wheezing,Bhojpuri
परेशान बानी wheezing बा से,wheezing,Bhojpuri
हमरा wheezing बा,wheezing,Bhojpuri
हमरा के हमरा wheezing बा बा,wheezing,Bhojpuri
परेशान बानी हमरा wheezing बा से,wheezing,Bhojpuri
देहिया में wheezing बा,wheezing,Bhojpuri
हमरा के देहिया में wheezing बा बा,wheezing,Bhojpuri
परेशान बानी देहिया में wheezing बा से,wheezing,Bhojpuri
बहुत बेसी wheezing बा,wheezing,Bhojpuri
हमरा के बहुत बेसी wheezing बा बा,wheezing,Bhojpuri
परेशान बानी बहुत बेसी wheezing बा से,wheezing,Bhojpuri
wheezing ba,wheezing,Roman Bhojpuri
hamra ke wheezing ba,wheezing,Roman Bhojpuri
babuji ke wheezing ba,wheezing,Roman Bhojpuri
deh me wheezing ba lagta,wheezing,Roman Bhojpuri
hamra wheezing ba,wheezing,Roman Bhojpuri
hamra ke hamra wheezing ba,wheezing,Roman Bhojpuri
babuji ke hamra wheezing ba,wheezing,Roman Bhojpuri
deh me hamra wheezing ba lagta,wheezing,Roman Bhojpuri
dehiya me wheezing ba,wheezing,Roman Bhojpuri
hamra ke dehiya me wheezing ba,wheezing,Roman Bhojpuri
babuji ke dehiya me wheezing ba,wheezing,Roman Bhojpuri
deh me dehiya me wheezing ba lagta,wheezing,Roman Bhojpuri
bahut besi wheezing ba,wheezing,Roman Bhojpuri
hamra ke bahut besi wheezing ba,wheezing,Roman Bhojpuri
babuji ke bahut besi wheezing ba,wheezing,Roman Bhojpuri
deh me bahut besi wheezing ba lagta,wheezing,Roman Bhojpuri
man thik naikhe wheezing ba,wheezing,Roman Bhojpuri
hamra ke man thik naikhe wheezing ba,wheezing,Roman Bhojpuri
babuji ke man thik naikhe wheezing ba,wheezing,Roman Bhojpuri
deh me man thik naikhe wheezing ba lagta,wheezing,Roman Bhojpuri
heartburn,heartburn,English
suffering from heartburn,heartburn,English
feeling heartburn,heartburn,English
mild heartburn,heartburn,English
i have heartburn,heartburn,English
suffering from i have heartburn,heartburn,English
feeling i have heartburn,heartburn,English
mild i have heartburn,heartburn,English
severe heartburn,heartburn,English
suffering from severe heartburn,heartburn,English
feeling severe heartburn,heartburn,English
mild severe heartburn,heartburn,English
heartburning,heartburn,English
suffering from heartburning,heartburn,English
feeling heartburning,heartburn,English
mild heartburning,heartburn,English
मुझे heartburn महसूस हो रहा है,heartburn,Hindi
लगातार heartburn,heartburn,Hindi
मुझे heartburn है,heartburn,Hindi
मुझे मुझे heartburn है महसूस हो रहा है,heartburn,Hindi
लगातार मुझे heartburn है,heartburn,Hindi
बहुत तेज heartburn,heartburn,Hindi
मुझे बहुत तेज heartburn महसूस हो रहा है,heartburn,Hindi
लगातार बहुत तेज heartburn,heartburn,Hindi
heartburn की शिकायत है,heartburn,Hindi
मुझे heartburn की शिकायत है महसूस हो रहा है,heartburn,Hindi
लगातार heartburn की शिकायत है,heartburn,Hindi
sir mujhe heartburn ho gaya hai,heartburn,Hinglish
heartburn ki problem hai,heartburn,Hinglish
bhaiya heartburn thik nhi ho rha,heartburn,Hinglish
mujhe heartburn hai,heartburn,Hinglish
sir mujhe mujhe heartburn hai ho gaya hai,heartburn,Hinglish
mujhe heartburn hai ki problem hai,heartburn,Hinglish
bhaiya mujhe heartburn hai thik nhi ho rha,heartburn,Hinglish
bahut jyada heartburn,heartburn,Hinglish
sir mujhe bahut jyada heartburn ho gaya hai,heartburn,Hinglish
bahut jyada heartburn ki problem hai,heartburn,Hinglish
bhaiya bahut jyada heartburn thik nhi ho rha,heartburn,Hinglish
heartburn ho rha h,heartburn,Hinglish
sir mujhe heartburn ho rha h ho gaya hai,heartburn,Hinglish
heartburn ho rha h ki problem hai,heartburn,Hinglish
bhaiya heartburn ho rha h thik nhi ho rha,heartburn,Hinglish
heartburn h,heartburn,Hinglish
sir mujhe heartburn h ho gaya hai,heartburn,Hinglish
heartburn h ki problem hai,heartburn,Hinglish
bhaiya heartburn h thik nhi ho rha,heartburn,Hinglish
heartburn बा,heartburn,Bhojpuri
हमरा के heartburn बा बा,heartburn,Bhojpuri
परेशान बानी heartburn बा से,heartburn,Bhojpuri
हमरा heartburn बा,heartburn,Bhojpuri
हमरा के हमरा heartburn बा बा,heartburn,Bhojpuri
परेशान बानी हमरा heartburn बा से,heartburn,Bhojpuri
देहिया में heartburn बा,heartburn,Bhojpuri
हमरा के देहिया में heartburn बा बा,heartburn,Bhojpuri
परेशान बानी देहिया में heartburn बा से,heartburn,Bhojpuri
बहुत बेसी heartburn बा,heartburn,Bhojpuri
हमरा के बहुत बेसी heartburn बा बा,heartburn,Bhojpuri
परेशान बानी बहुत बेसी heartburn बा से,heartburn,Bhojpuri
heartburn ba,heartburn,Roman Bhojpuri
hamra ke heartburn ba,heartburn,Roman Bhojpuri
babuji ke heartburn ba,heartburn,Roman Bhojpuri
deh me heartburn ba lagta,heartburn,Roman Bhojpuri
hamra heartburn ba,heartburn,Roman Bhojpuri
hamra ke hamra heartburn ba,heartburn,Roman Bhojpuri
babuji ke hamra heartburn ba,heartburn,Roman Bhojpuri
deh me hamra heartburn ba lagta,heartburn,Roman Bhojpuri
dehiya me heartburn ba,heartburn,Roman Bhojpuri
hamra ke dehiya me heartburn ba,heartburn,Roman Bhojpuri
babuji ke dehiya me heartburn ba,heartburn,Roman Bhojpuri
deh me dehiya me heartburn ba lagta,heartburn,Roman Bhojpuri
bahut besi heartburn ba,heartburn,Roman Bhojpuri
hamra ke bahut besi heartburn ba,heartburn,Roman Bhojpuri
babuji ke bahut besi heartburn ba,heartburn,Roman Bhojpuri
deh me bahut besi heartburn ba lagta,heartburn,Roman Bhojpuri
man thik naikhe heartburn ba,heartburn,Roman Bhojpuri
hamra ke man thik naikhe heartburn ba,heartburn,Roman Bhojpuri
babuji ke man thik naikhe heartburn ba,heartburn,Roman Bhojpuri
deh me man thik naikhe heartburn ba lagta,heartburn,Roman Bhojpuri
acid reflux,acid_reflux,English
suffering from acid reflux,acid_reflux,English
feeling acid reflux,acid_reflux,English
mild acid reflux,acid_reflux,English
i have acid reflux,acid_reflux,English
suffering from i have acid reflux,acid_reflux,English
feeling i have acid reflux,acid_reflux,English
